"","YEAR","SEASON","YEBI_TOTAL","SUMA_TOTAL","REMA_TOTAL","AMBE_TOTAL","RESP_TOTAL","EAHE_TOTAL","NWCE_TOTAL","BAFI_TOTAL","PABI_TOTAL","CENSOR","yebi_biomass","suma_biomass","rema_biomass","ambe_biomass","resp_biomass","eahe_biomass","nwce_biomass","bafi_biomass","pabi_biomass"
"1",1988,"F",10,1,0,0,0,0,0,0,0,"N",0.10608959869024,0.6789352355424,0,0,0,0,0,0,0
"2",1988,"F",9,9,0,0,0,0,0,0,0,"N",0.095480638821216,6.1104171198816,0,0,0,0,0,0,0
"3",1988,"F",17,3,0,0,0,0,0,0,0,"N",0.180352317773408,2.0368057066272,0,0,0,0,0,0,0
"4",1988,"F",22,3,0,0,0,0,0,0,0,"N",0.233397117118528,2.0368057066272,0,0,0,0,0,0,0
"5",1988,"F",10,7,0,0,0,0,0,0,0,"N",0.10608959869024,4.7525466487968,0,0,0,0,0,0,0
"6",1988,"F",7,10,0,0,0,0,0,0,0,"N",0.074262719083168,6.789352355424,0,0,0,0,0,0,0
"7",1988,"F",29,7,0,0,0,0,0,0,0,"N",0.307659836201696,4.7525466487968,0,0,0,0,0,0,0
"8",1988,"F",24,6,0,0,0,0,0,0,0,"N",0.254615036856576,4.0736114132544,0,0,0,0,0,0,0
"9",1988,"F",16,8,0,1,0,0,0,0,0,"N",0.169743357904384,5.4314818843392,0,2.98406837,0,0,0,0,0
"10",1988,"F",13,24,0,3,0,0,0,0,0,"N",0.137916478297312,16.2944456530176,0,8.95220511,0,0,0,0,0
"11",1988,"F",1,11,0,2,0,0,0,0,0,"N",0.010608959869024,7.4682875909664,0,5.96813674,0,0,0,0,0
"12",1988,"F",1,17,0,1,0,1,0,0,0,"N",0.010608959869024,11.5418990042208,0,2.98406837,0,0.025529301719024,0,0,0
"13",1988,"F",1,30,0,0,0,1,0,0,0,"N",0.010608959869024,20.368057066272,0,0,0,0.025529301719024,0,0,0
"14",1988,"F",1,27,0,3,0,0,0,0,0,"N",0.010608959869024,18.3312513596448,0,8.95220511,0,0,0,0,0
"15",1988,"F",3,29,0,5,0,0,0,0,0,"N",0.031826879607072,19.6891218307296,0,14.92034185,0,0,0,0,0
"16",1988,"F",14,29,0,0,0,0,0,0,0,"N",0.148525438166336,19.6891218307296,0,0,0,0,0,0,0
"17",1988,"F",3,33,0,1,0,0,0,0,0,"N",0.031826879607072,22.4048627728992,0,2.98406837,0,0,0,0,0
"18",1988,"F",40,23,0,0,0,0,0,0,0,"N",0.42435839476096,15.6155104174752,0,0,0,0,0,0,0
