"","year","AvgTemp","dT"
"5",1988,62.8920454545455,-0.186813186813183
"6",1989,61.9619565217391,-1.90303446553447
"7",1990,63.3478260869565,0.930088932806321
"8",1991,62.8369565217391,-1.38586956521739
"9",1992,60.5879120879121,0.510869565217391
"10",1993,63.5597826086956,2.24904443382704
"11",1994,63.4109589041096,-2.97187052078356
"12",1995,65.9829545454545,0.148823704586057
"13",1996,64.1923076923077,-2.57199564134496
"14",1997,62.978021978022,1.79064685314685
"15",1998,62.5625,1.21428571428572
"16",1999,63.379746835443,0.415521978021978
"17",2000,60.91875,-0.817246835443036
"18",2001,62.5280898876404,2.46099683544303
"19",2002,63.3820224719101,-1.60933988764044
"20",2003,63.5054347826087,-0.853932584269664
"21",2004,62.75,-0.123412310698583
"22",2005,67.8,0.755434782608695
"23",2006,64.5670731707317,-5.05
"24",2007,62.5163043478261,3.23292682926829
"25",2008,61.9510869565217,2.05076882290562
"26",2009,60.9130434782609,0.565217391304344
"27",2010,63.5,1.03804347826087
"28",2011,64.9510869565217,-2.58695652173913
"29",2012,63.6521739130435,-1.45108695652173
"30",2013,63.0163043478261,1.29891304347826
"31",2014,62.1902173913044,0.635869565217391
"32",2015,61.9120879120879,0.826086956521735
"33",2016,63.6722222222222,0.278129479216439
"34",2017,62.820652173913,-1.76013431013431
"35",2018,64.1576086956522,0.851570048309178
